50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.4483640000000015,,,,,,,,,,,,,,5de99ba3-323b-44a2-8a4c-5978f503b54f,40,,"[30.0, 10.4]",4070751,1,0.0120219486,0.0118835252,0.0001384234,0.0074915425,0.0114312153,-0.0039396728,-0.0040780962,,,,2.390354,,,Left Foot,,,,"[7.0, 31.9]",,Ground Pass,31.47,,,,38.0,Midfield third - Left - Backwards - Long - Ground Pass,0.9035331859,0.9978760481,Péter Szappanos,158733.0,,,,,,,1,Regular Play,Patrizio Stronati,27815.0,Left Center Back,5,Ujpest,1033,"['d77ca0bb-1cdf-5e1a-9ef5-f2041b779ae0', '585d6a9e-24f0-5d38-a98b-fd99158d310c']",6,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:06.159,Pass,
,,,,,,,,,,,,,,,1.1253709999999992,,,,,,,,,,,,,,c79dcfa1-e49b-4f7e-8d21-03c49299d07a,44,,"[7.2, 32.2]",4070751,1,0.0114052128,0.0112193422,0.0001858706,0.0114468364,0.0072756233,0.0041712131,0.0039853426,,,,0.806588,,,Right Foot,,,,"[19.7, 45.2]",,Ground Pass,18.02,,,,33.0,Defensive third - Center - To right - Short - Ground Pass,0.9896575433,0.9776647687,Arne Maier,12411.0,,,,,,,1,Regular Play,Péter Szappanos,158733.0,Goalkeeper,5,Ujpest,1033,"['38aba608-10ad-54d9-a5ec-faac2a81f7d0', 'd2e48bde-5d0e-5cf5-bc79-846be828cd95', 'db9aa737-33aa-4612-9c9c-35aa1c8e00db']",10,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:10.415,Pass,True
,,,,,,,,,,,,,,,1.6540179999999964,,,,,,,,,,,,,,cebd0985-21ac-4e17-bd2d-ef54ac91f3c6,46,,"[19.7, 45.2]",4070751,1,0.012583687,0.0114052128,0.0011784742,0.0084145451,0.0114468364,-0.0030322913,-0.0042107655,,,,2.141217,,,Right Foot,,,,"[10.5, 59.5]",,Ground Pass,17.04,,,,33.0,Defensive third - Center - To right - Short - Ground Pass,0.9663096362,0.9891190529,Heitor Marinho dos Santos,92794.0,,,,,,,1,Regular Play,Arne Maier,12411.0,Right Defensive Midfield,5,Ujpest,1033,['83af4c88-723f-5f7b-8ffe-64e09aa0fdc9'],11,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:11.540,Pass,
,,,,,,,,,,,,,,,2.0491540000000095,,,,,,,,,,,,,,601ad25d-e01f-4212-8541-17f433a95ceb,49,,"[10.5, 59.5]",4070751,1,0.0095867151,0.012583687,-0.0029969718,0.0179973468,0.0084145451,0.0095828017,0.0125797736,,,,-0.152487,,,Right Foot,,,,"[56.8, 52.4]",,High Pass,46.87,,,,41.0,Defensive third - Right - Forwards - Long - High Pass,0.5367735396,0.3542927504,Etienne Amenyido,28574.0,,,,,,,1,Regular Play,Heitor Marinho dos Santos,92794.0,Right Center Back,5,Ujpest,1033,"['e53426b5-748f-57fc-a50a-0536c22db5d0', 'aec3de86-c50e-545a-adcc-53edc85bfa67']",15,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:01:15.194,Pass,
,,,,,,,,,,,,,,,1.5613739999999963,,,,,,,,,,,,,,1bca28cb-2cb9-4643-8e2e-707d0398bfd8,53,,"[52.1, 0.1]",4070751,1,0.0093483934,0.0095390687,-0.0001906753,0.0212000627,0.0102942213,0.0109058414,0.0110965166,True,,,0.465215,,,,,,,"[77.6, 12.9]",,High Pass,28.53,,Incomplete,,,,,0.5244904757,,,,,,,Throw-in,,1,From Throw In,Áron Doktorics,565833.0,Left Back,6,Vasas,2211,['6b93c812-f983-47b6-b88b-33ce95cb8a1a'],29,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:01:29.432,Pass,
,,,,,,,,,,,,,,,1.503243000000002,,,,,,,,,,,,,,81313d51-87a7-4079-9613-8a569baca0f2,58,,"[75.8, 13.6]",4070751,1,0.0100382045,0.0081450343,0.0018931702,0.0238425806,0.0107617043,0.0130808763,0.0111877061,,,,1.68516,,,Right Foot,,,,"[74.1, 28.4]",,High Pass,14.9,,,,32.0,Midfield third - Left - To right - Short - Ground Pass,0.8511210727,0.6468918324,Milán László Tóth,432865.0,,,,,Recovery,,1,From Throw In,Jozef Urblík,498765.0,Left Center Forward,6,Vasas,2211,['2eb5c31c-6313-587d-add0-2198dfaa6c74'],32,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:01:32.638,Pass,
,,,,,,,,,,,,,,,0.813778999999995,,,,,,,,,,,,,,6613bd0f-765f-4c7f-9737-c376a38fd833,61,,"[74.1, 28.4]",4070751,1,0.0094976649,0.0100382045,-0.0005405396,0.0258842167,0.0238425806,0.002041636,0.0025821757,,,,-0.030918,,,Right Foot,,,,"[83.8, 28.1]",,Low Pass,9.7,,,,53.0,Midfield third - Center - Forwards - Short - Ground Pass,0.9300078765,0.6287743449,Márk Koszta,311946.0,,,,,,,1,From Throw In,Milán László Tóth,432865.0,Left Center Midfield,6,Vasas,2211,"['ae031b40-8dc8-553a-80af-cb84236d241f', '138c909b-a2eb-5e32-a9b6-d96c1cc0c956']",34,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:01:34.748,Pass,
,,,,,,,,,,,,,,,2.2590380000000003,,,,,,,,,,,,,,d7611434-a916-4c3e-8cd9-1f7d72a43dcc,65,,"[83.8, 28.1]",4070751,1,0.0094997063,0.0094976649,2.0415e-06,0.0163375754,0.0258842167,-0.0095466413,-0.0095486827,,,,1.970356,,,Left Foot,,,,"[65.6, 71.2]",,Ground Pass,46.79,,,,34.0,Midfield third - Left - To right - Long - High Pass,0.8996706014,0.9499729872,Viktor Gey,404291.0,,,True,,,,1,From Throw In,Márk Koszta,311946.0,Right Center Forward,6,Vasas,2211,"['8619ff27-318d-5e45-8a9c-af08f5943efa', '027185fc-c5ac-4791-97a8-989b4bdcf303', '1c85bd0f-4b47-51b0-9732-78ecd8809f8c']",38,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:01:38.302,Pass,True
,,,,,,,,,,,,,,,1.1937020000000047,,,,,,,,,,,,,,a80dc53f-6907-4b94-ae0d-5e6d0deb1bbd,68,,"[65.6, 71.2]",4070751,1,0.0088447835,0.0094997063,-0.0006549228,0.0196392704,0.0163375754,0.003301695,0.0039566178,,,,0.342232,,,Right Foot,,,,"[81.6, 76.9]",,Ground Pass,16.98,,,,17.0,Midfield third - Right - Forwards - Short - Ground Pass,0.9937354355,0.932534039,Márk Kovácsréti,101840.0,,,,,,,1,From Throw In,Viktor Gey,404291.0,Right Back,6,Vasas,2211,"['1ebd174d-fcf4-50e2-a757-fe81d591cbc2', '20942277-4f92-5162-844c-953379711f9d']",41,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:01:41.533,Pass,
,,,,,,,,,,,,,,,2.633061999999991,,,,,,,,,,,,,,3b4e26bf-8446-4a4a-a309-db3e47764599,71,,"[81.6, 76.9]",4070751,1,0.0083807707,0.0088447835,-0.0004640128,0.0232381262,0.0196392704,0.0035988558,0.0040628687,,,,0.122571,,,Left Foot,,,,"[95.4, 78.6]",,Ground Pass,13.9,,,,43.0,Attacking third - Right - Forwards - Short - Ground Pass,0.8544982632,0.9094309807,Viktor Gey,404291.0,,,,,,,1,From Throw In,Márk Kovácsréti,101840.0,Right Center Midfield,6,Vasas,2211,"['cde84a9a-255c-544f-b230-dc46ec999f52', '3ac8a303-80cd-55d5-88f5-682498b018fd']",45,,,,,,,,,,,,,,,,,,,,,,,Vasas,2211,00:01:45.480,Pass,
