,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_shot_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
1730,,,,,,,"[69.4, 76.5]",,,,,,,,,,,1.645,,,,,,,,,,,,,,e7470c9b-7be9-5aaf-88e4-ac1977f7bb02,667,,,"[69.2, 76.4]",4003641,21,,0.0094936108,0.0094936108,0.0,0.0162107181,0.0162107181,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Krisztián Nagy,404977.0,Right Center Midfield,66,Kisvárda,2484,"['bdb92377-2ea6-5748-a928-0c753cb24bb4', '52816348-ba54-51cd-ab2a-971bc0a8a836']",27,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:21:27.403,Carry,
1731,,,,,,,"[63.6, 65.2]",,,,,,,,,,,1.557,,,,,,,,,,,,,,4a0b1b32-7fe0-53a9-baef-7ac320b899f7,670,,,"[65.4, 66.9]",4003641,21,,0.0097569982,0.0095332898,0.0002237083,0.0178912431,0.0175534636,0.0003377795,0.0001140712,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gábor Molnár Horváth,405806.0,Center Attacking Midfield,66,Kisvárda,2484,"['73600b56-f52b-518d-89e8-4f0abe9e1784', '7154c406-c745-5381-9e84-279db3b305a4']",29,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:21:29.651,Carry,
1732,,,,,,,"[49.4, 20.1]",,,,,,,,,,,1.599,,,,,,,,,,,,,,c60e27ae-0996-5425-95d5-ad6b7f6e709a,673,,,"[50.6, 26.7]",4003641,21,,0.0107176704,0.0098895347,0.0008281358,0.0155504197,0.0162920281,-0.0007416084,-0.0015697442,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martin Chlumecký,131284.0,Left Center Back,66,Kisvárda,2484,"['a955be14-b17f-5301-abb1-e57b24a92a5f', 'a94e4124-4b6e-557d-9af3-7ce3628fe3c1']",32,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:21:32.604,Carry,
1733,,,,,,,"[65.6, 8.9]",,,,,,,,,,,1.377,,,,,,,,,,,,,,e7236f7b-ecc2-5f29-97e1-2cc6fe6ee17e,676,,,"[70.8, 5.0]",4003641,21,,0.0096037863,0.0097887507,-0.0001849644,0.0181532353,0.0169293992,0.0012238361,0.0014088005,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sinan Medgyes,404182.0,Left Back,66,Kisvárda,2484,"['e909f71f-c3b1-546d-9858-276142ca8431', '29048357-40ed-516c-a942-830fe82fd19d']",35,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:21:35.772,Carry,
1734,,,,,,,"[49.8, 11.5]",,,,,,,,,,,2.329,,,,,,,,,,,,,,e7b80762-a60d-5262-a966-f2c9df6dd6dd,679,,,"[45.6, 16.3]",4003641,21,,0.0101384101,0.012322153,-0.0021837428,0.0145155927,0.0124261901,0.0020894026,0.0042731455,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martin Chlumecký,131284.0,Left Center Back,66,Kisvárda,2484,"['665681e1-1e42-56e7-b15f-f3118b1eaa12', '184ab6e6-9b40-50d9-b475-8801bd45f0ac', '19d53c76-9859-586f-a0de-bebb7233ae2b']",38,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:21:38.172,Carry,True
1735,,,,,,,"[33.2, 61.4]",,,,,,,,,,,1.131,,,,,,,,,,,,,,739f8872-da03-5479-92c7-b2851b884ef3,690,,,"[32.6, 61.2]",4003641,22,,0.0108197806,0.0192090794,-0.0083892988,0.012988749,0.0092399679,0.003748781,0.0121380799,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tom Lacoux,68861.0,Left Defensive Midfield,68,Ujpest,1033,"['03055008-e5ba-5259-825d-a3f7b0717a38', 'b28820a0-6156-5084-9a88-80808b4e2e4d', '77bb9b31-19cb-5eff-a6a1-d1fffbacb03b']",4,,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:04.900,Carry,True
1736,,,,,,,"[52.3, 66.1]",,,,,,,,,,,0.94,,,,,,,,,,,,,,20f4b8ef-5c53-5a61-a321-05f97a14e73a,694,,,"[50.7, 68.8]",4003641,22,,0.0102361543,0.0111536654,-0.0009175111,0.0151036223,0.0122908549,0.0028127674,0.0037302785,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mátyás Tajti,35313.0,Center Attacking Midfield,68,Ujpest,1033,"['0b1401c6-2a8c-5339-9d7e-2c43541e1c28', '8602cc3d-dddf-5cde-87c6-1f4310a64794', '1f1912a5-8b7f-55d2-9cdf-d8df77b3bbe1']",6,,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:22:06.962,Carry,True
1737,,,,,,,"[12.0, 8.5]",,,,,,,,,,,1.906,,,,,,,,,,,,,,dc6ab0cc-9d32-5578-bd77-61d858c2e420,699,,,"[28.1, 17.9]",4003641,22,,0.0138953011,0.0134079484,0.0004873527,0.0057400381,0.0096792849,-0.0039392468,-0.0044265995,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aleksandar Jovičić,28394.0,Right Center Back,69,Kisvárda,2484,"['a25372bf-cca0-544e-8c59-13ac384840cd', '4581e7a3-c565-54f2-9440-d02d0bee108b', 'de9bc628-f904-5e06-b2d0-c0da80f021bf']",11,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:22:11.226,Carry,True
1738,,,,,,,"[6.0, 40.0]",,,,,,,,,,,1.985,,,,,,,,,,,,,,82e0f88b-3331-5a99-8c47-7721f7972286,702,,,"[7.2, 36.0]",4003641,22,,0.0120890709,0.0123366006,-0.0002475297,0.0093524875,0.0070143789,0.0023381086,0.0025856383,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ilya Popovych,484629.0,Goalkeeper,69,Kisvárda,2484,"['80d12e4d-b012-5156-8d4b-2468d1350df9', '29fc19be-00fd-58ac-909b-10c96cd6b63d', 'db132b1a-4b18-5f97-b10c-771d7b9b813e']",14,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:22:14.692,Carry,True
1739,,,,,,,"[46.8, 41.4]",,,,,,,,,,,1.258,,,,,,,,,,,,,,65516ca5-dba1-57f4-9da6-1a205d81f878,708,,,"[45.4, 37.6]",4003641,22,,0.0101538925,0.0164059401,-0.0062520476,0.0139677757,0.0097545059,0.0042132698,0.0104653174,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Abdulrasaq Ridwan Popoola,484631.0,Center Defensive Midfield,69,Kisvárda,2484,"['dd69ea57-1491-5e63-aecc-12d635f15844', 'b7ed7e98-1a26-5f4d-8814-43a99cf16655', '9dc43dd1-4c9d-51aa-a0be-caccca824167']",21,,,,,,,,,,,,,,,,,,,,,,,,,,Kisvárda,2484,00:22:21.411,Carry,True
