50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_shot_goal_assist,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[19.9, 13.6]",,,,,,,,,,,,1.391,,,,,,,,,,,,,7a93cb29-9adb-5afb-b4cd-3336770a3265,469,,,"[21.1, 11.6]",4003600,11,0.014721198,0.0142878024,0.0004333956,0.0079931123,0.0079124216,8.06907e-05,-0.0003527049,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mátyás Katona,404202.0,Left Center Midfield,42,Nyíregyháza Spartacus,2215,"['8bd02a51-5dfc-5e12-9081-d33a8169dcf1', '2ee795b5-8d30-515d-80d4-175229cde460', '9f25afa1-060c-549a-aba5-c14ab0ee472a']",9,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:11:09.838,Carry,True
,,,,,"[45.1, 66.5]",,,,,,,,,,,,0.858,,,,,,,,,,,,,d0b36079-adec-5b5e-b102-be36374ece30,478,,,"[47.4, 68.5]",4003600,11,0.0102292728,0.0100352485,0.0001940243,0.0141895181,0.0139981564,0.0001913616,-2.6627e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Pavlos Korrea,139471.0,Right Center Back,43,Nyíregyháza Spartacus,2215,"['86c40c81-aec2-5083-80b8-9bacd4afb6a8', 'ea5cf14a-e93f-587f-9a0c-490f0717cdec']",32,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:11:32.060,Carry,
,,,,,"[30.3, 47.9]",,,,,,,,,,,,1.329,,,,,,,,,,,,,fe6125dd-392a-5845-8396-ccf30b7c26cd,481,,,"[27.1, 51.3]",4003600,11,0.0110068675,0.011546758,-0.0005398905,0.0133603886,0.0128145413,0.0005458472,0.0010857377,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Stefanos Evangelou,31306.0,Center Back,43,Nyíregyháza Spartacus,2215,"['90a41869-cd68-56eb-a395-5b1b59382fe9', '76b1d37d-b86e-59c9-869d-fcb1f7ba69ce']",34,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:11:34.806,Carry,
,,,,,"[48.8, 26.7]",,,,,,,,,,,,4.858,,,,,,,,,,,,,c11c54a2-0ac9-5c92-bac3-5ebd1528107a,484,,,"[40.2, 32.8]",4003600,11,0.0097645624,0.0108394464,-0.0010748841,0.0159389451,0.015081713,0.0008572321,0.0019321162,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Levente Katona,404971.0,Left Center Back,43,Nyíregyháza Spartacus,2215,"['b75c2cd3-6368-59d6-a7bd-8e26ed78ce0b', 'a44b2724-8b1f-525e-9773-10f5783bbde8']",37,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:11:37.420,Carry,
,,,,,"[48.0, 55.8]",,,,,,,,,,,,1.291,,,,,,,,,,,,,e28961a4-3fe2-5d50-bb2f-1a317cf3117a,487,,,"[41.6, 51.7]",4003600,11,0.0102243014,0.0102422722,-1.79708e-05,0.0155823892,0.0146247651,0.0009576241,0.0009755949,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Stefanos Evangelou,31306.0,Center Back,43,Nyíregyháza Spartacus,2215,"['2a06e18d-5080-550f-99a1-0ff9adcc3cd4', 'e081ff76-6373-5f52-851a-e498f520e244']",43,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:11:43.794,Carry,
,,,,,"[72.1, 78.6]",,,,,,,,,,,,2.049,,,,,,,,,,,,,3de75bfa-1893-5266-824e-75615687652a,490,,,"[70.1, 78.6]",4003600,11,0.0094178105,0.0090731243,0.0003446862,0.0164418668,0.0162812937,0.0001605731,-0.0001841132,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Milán Májer,404960.0,Right Wing Back,43,Nyíregyháza Spartacus,2215,"['01124059-3267-5fbf-ae7e-0157246272da', 'c4bc8d1d-c494-574e-b24b-aa66f26cf64b']",46,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:11:46.897,Carry,
,,,,,"[105.0, 64.2]",,,,,,,,,,,,3.81,,,,,,,,,,,,,d247c4ff-84ae-5068-8b4b-3036534565b8,493,,,"[106.4, 55.4]",4003600,11,0.0081605045,0.0087248841,-0.0005643796,0.0409785099,0.0656145439,-0.0246360339,-0.0240716543,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Bálint Lajos Katona,404992.0,Right Center Midfield,43,Nyíregyháza Spartacus,2215,"['53c8afa4-3258-5841-abc5-24bc378fb26e', '52922a06-52b7-5500-9cd5-8f96ba22676a']",51,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:11:51.135,Carry,
,,,,,"[108.1, 74.3]",,,,,,,,,,,,0.04,,,,,,,,,,,,,d94c3437-f1f6-5f8b-97ec-ceb03e98ce96,496,,,"[108.1, 74.3]",4003600,11,0.0089148674,0.0089148674,0.0,0.0289314855,0.0289314855,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Milán Májer,404960.0,Right Wing Back,43,Nyíregyháza Spartacus,2215,"['9aac8bf1-82aa-53bf-8243-fe9ea0368b64', '2b5d7572-d9ae-5b98-be7d-f96e382b7424']",56,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:11:56.521,Carry,
,,,,,"[9.4, 34.8]",,,,,,,,,,,,1.787,,,,,,,,,,,,,d02270ff-3ed1-578b-a30b-9aa79b97b5b4,507,,,"[8.2, 42.1]",4003600,13,0.0119263558,0.0118398136,8.65422e-05,0.009442728,0.0071506654,0.0022920626,0.0022055204,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Riccardo Piscitelli,38335.0,Goalkeeper,44,Ujpest,1033,"['f7624ffc-4f86-57a0-8ab8-f5a0a044f5ca', '4325ba4e-4536-5d7e-be69-2055aa14326c', 'ff155c8e-5348-5b8e-bcdd-7ccf110621a4']",2,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:13:02.380,Carry,True
,,,,,"[71.3, 32.8]",,,,,,,,,,,,1.106,,,,,,,,,,,,,9d616254-39cc-5fc4-bf37-dffc6bbbb0dc,515,,,"[71.6, 30.2]",4003600,13,0.0084357811,0.0104302019,-0.0019944208,0.0197247658,0.0200150963,-0.0002903305,0.0017040903,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mátyás Katona,404202.0,Left Center Midfield,45,Nyíregyháza Spartacus,2215,"['a613065a-43ff-55d4-a923-619cbd51ec1d', 'd331bfdb-0ef6-5502-a15c-6b570a0e9567', '3f357d3c-9913-55fc-9bf8-9326cccc2292']",9,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:13:09.925,Carry,True
