50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_open_goal,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[81.8, 65.6]",,,,,,,,,,,,0.0004939999999478459,,,,,,,,,,,,,1190b3a2-4957-52c6-894a-9d58e9948d42,2498,,,"[81.8, 65.6]",4003674,68,0.0092248553,0.0092248553,0.0,0.0237916317,0.0237916317,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Tom Lacoux,68861.0,Center Defensive Midfield,168,Ujpest,1033,"['bb76495c-7782-46f8-b41e-66e79dc04b89', '1178f921-aed0-5a11-8a5a-ef455714f4b9']",46,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:23:46.422,Carry,
,,,,,"[76.0, 30.8]",,,,,,,,,,,,2.497163999999873,,,,,,,,,,,,,fbcbd854-91c3-54cb-871f-2c3efe85e29f,2501,,,"[76.0, 30.8]",4003674,68,0.0092146751,0.0092146751,0.0,0.0244320501,0.0244320501,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Bence Gergényi,404242.0,Left Back,168,Ujpest,1033,"['867fcf98-b425-4b18-ab45-56de16e783ba', '97d7c519-620c-57eb-9e60-962e82ef0327']",48,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:23:48.509,Carry,
,,,,,"[79.0, 40.7]",,,,,,,,,,,,2.2378919999999924,,,,,,,,,,,,,8ffc9cb4-066e-5da1-ac44-5820414db981,2504,,,"[79.0, 40.7]",4003674,68,0.0092125824,0.0092125824,0.0,0.027539093,0.027539093,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Tom Lacoux,68861.0,Center Defensive Midfield,168,Ujpest,1033,"['22bf1957-8c2e-5d72-8816-b468cf15e9d5', 'bbfe331c-06c5-461b-86b7-96321de3494f']",51,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:23:51.877,Carry,
,,,,,"[30.0, 34.9]",,,,,,,,,,,,1.549,,,,,,,,,,,,,b02e4d47-b0f5-5f97-923a-80cc6804dee6,2511,,,"[36.3, 36.5]",4003674,68,0.0121820141,0.0110154664,0.0011665476,0.0138730844,0.0139294947,-5.64102e-05,-0.0012229579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Toon Raemaekers,43895.0,Center Back,169,Ferencvaros,1476,"['ab4ae17d-b15f-4ca1-929e-b5decb8fb871', 'cbed3fe5-209d-465a-9ae2-51d506265143']",55,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:23:55.484,Carry,
,,,,,"[3.1, 54.6]",,,,,,,,,,,,3.767746000000043,,,,,,,,,,,,,d3249011-c5bc-5a29-adc7-2b849c52caa1,2514,,,"[3.5, 43.1]",4003674,68,0.0137020182,0.0150148468,-0.0013128286,0.0059977993,0.0074220225,-0.0014242232,-0.0001113946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Dávid Attila Grof,285971.0,Goalkeeper,169,Ferencvaros,1476,"['be746d25-87d9-4e69-9729-4b765621d808', '7a97a438-7da3-5161-b2dd-73a6ebfc9b6e', '9ceabfa5-b24c-497c-b902-4e1e65c29322']",58,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:23:58.910,Carry,True
,,,,,"[65.4, 17.6]",,,,,,,,,,,,1.436,,,,,,,,,,,,,b91f5cea-7ca9-54a1-b49d-296ae5b5b15b,2520,,,"[64.8, 25.4]",4003674,69,0.0096573429,0.0072913584,0.0023659845,0.0182333104,0.0109440302,0.0072892802,0.0049232957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Bence Gergényi,404242.0,Left Back,170,Ujpest,1033,"['38eb4c61-64a8-4eba-bf11-912de81a723d', '0c4ee04b-35f2-42fd-b888-a6386f36908e']",8,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:24:08.602,Carry,
,,,,,"[36.7, 74.7]",,,,,,,,,,,,1.3226499999999068,,,,,,,,,,,,,f1ea2249-e757-5bf8-ad9f-f72a0bc7d444,2525,,,"[34.9, 73.8]",4003674,69,0.0108412514,0.0102904281,0.0005508233,0.0094489567,0.0093536628,9.52939e-05,-0.0004555294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Attila Osváth,404304.0,Right Wing Back,171,Ferencvaros,1476,"['ee21d052-6d97-590a-8bf4-27e51448a954', '4d2dcf1d-0689-4e50-9d46-9b3c591cbf4d', '03e0e6f8-eaf2-4da3-9964-508527fc5953']",12,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:24:12.736,Carry,True
,,,,,"[58.7, 60.7]",,,,,,,,,,,,0.8984690000000409,,,,,,,,,,,,,cf9deda9-348c-5d35-ae2a-0c8cf69d6598,2530,,,"[61.1, 59.5]",4003674,69,0.0095978873,0.0107144406,-0.0011165533,0.0172244459,0.0160105806,0.0012138654,0.0023304187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Franko Kovačević,52155.0,Center Forward,171,Ferencvaros,1476,"['4f73adb3-bca5-5fb5-9a3a-8a8249803b11', '53530a3f-62ac-4bbf-8825-1533cedb00ec', '4722e31b-9297-4b59-bf7b-d3d014d6699d']",15,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:24:15.608,Carry,True
,,,,,"[56.3, 68.5]",,,,,,,,,,,,0.696033999999985,,,,,,,,,,,,,f14143bf-6909-5e56-a9d9-64ff0e238881,2533,,,"[56.4, 67.1]",4003674,69,0.0102781923,0.0106527675,-0.0003745751,0.0140894894,0.014315228,-0.0002257386,0.0001488365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marius Dumitru Corbu,404173.0,Right Wing,171,Ferencvaros,1476,"['021df46f-f6b7-415f-964e-7e78e581ff94', 'c23e7b08-0692-4be1-8d53-0bec82640296', '60f8cbd7-2d0c-5081-8c4f-db647e9c460f']",17,,,,,,,,,,,,,,,,,,,,,,,Ferencvaros,1476,00:24:17.278,Carry,True
,,,,,"[75.3, 61.4]",,,,,,,,,,,,6.711,,,,,,,,,,,,,3418a51c-f62e-52c7-a88c-c3fc0f168e07,2537,,,"[68.0, 46.7]",4003674,69,0.0096209953,0.0140894894,-0.0044684941,0.0219186489,0.0102781923,0.0116404565,0.0161089506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gleofilo Sabrino Rudewald Vlijter,103341.0,Right Wing,172,Ujpest,1033,"['234d7c09-d07c-4324-b727-63611df4a04c', '0dbb04de-e630-42fa-af57-dec0082f158c']",19,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:24:19.701,Carry,
