,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
2559,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2d154696-a9a3-4c9b-962c-01737e12670a,616,,,"[73.4, 57.6]",4003664,20,0.0122595495,0.013520658,-0.0012611086,0.0093009444,0.0122878794,-0.002986935,-0.0017258264,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Balázs Manner,345335.0,Right Center Midfield,52,Ujpest,1033,['1d1b1292-93f6-55bb-b923-cf580d13e04c'],35,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:20:35.592,Foul Committed,
2560,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e896c6cf-da06-43e8-b3e5-9a3ece3bd4c9,881,,,"[53.1, 74.9]",4003664,27,0.014624442,0.016423678,-0.0017992361,0.0082066497,0.0094730509,-0.0012664013,0.0005328348,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aljoša Matko,101803.0,Right Midfield,70,Nyíregyháza Spartacus,2215,"['db27ad77-4af9-5796-8878-9e63aceda81b', '9ff10db0-28ee-4b49-8732-91699d75c6b1']",9,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:27:09.929,Foul Committed,
2561,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d999024a-6560-4175-a267-c371f43cb212,895,,,"[63.9, 25.2]",4003664,28,0.0141537115,0.0069445511,0.0072091604,0.0102182329,0.0097002778,0.000517955,-0.0066912053,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Milán Kovács,438572.0,Center Defensive Midfield,73,Nyíregyháza Spartacus,2215,"['e64d868f-5663-540c-b564-372328c2bf80', '628b98eb-d8ee-4253-95eb-e2571f7f67ce']",9,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:28:09.576,Foul Committed,
2562,,,,,,,,,,,,,,,,,,0.0,,,True,Handball,,,,,,,,,,6f11a488-9ad4-460c-8362-29bdddbe29d1,926,,,"[5.5, 47.9]",4003664,29,0.763477385,0.0427160859,0.7207612991,0.0178786293,0.0090847667,0.0087938625,-0.7119674366,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Damian Rasak,12829.0,Left Defensive Midfield,76,Nyíregyháza Spartacus,2215,['4b7fa116-8d18-4edf-9080-bad06c297ee2'],50,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:29:50.835,Foul Committed,
2563,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,,,,46923b5c-e837-462e-90e5-2d6b5a2bab94,1053,,,"[48.9, 19.4]",4003664,35,0.0159500483,0.0174864978,-0.0015364494,0.0112881213,0.0094498936,0.0018382277,0.0033746772,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Levente Katona,404971.0,Left Center Back,84,Ujpest,1033,['3b4cd4ca-88a9-573d-aac7-2aa74626245d'],55,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:35:55.249,Foul Committed,
2564,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3370594d-ba49-4c33-9541-92cd0cb4c382,1058,,,"[49.3, 7.8]",4003664,35,0.0174427144,0.0159500483,0.0014926661,0.0084611028,0.0112881213,-0.0028270185,-0.0043196846,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Milán Kovács,438572.0,Center Defensive Midfield,84,Ujpest,1033,['2f55ab63-6c4a-5696-bb3a-97a1b7affec2'],59,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:35:59.357,Foul Committed,
2565,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0a8ac827-1624-498e-b779-001b0e38257d,1135,,,"[107.5, 34.5]",4003664,39,0.0067497129,0.0090847667,-0.0023350539,0.0105394889,0.0427160859,-0.032176597,-0.0298415432,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Aljoša Matko,101803.0,Right Midfield,87,Ujpest,1033,"['2e40b9aa-bc3c-4174-a9e1-13041a57e0d3', '6d86b897-67f8-5e52-8901-4e471c8ffd27']",1,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:39:01.852,Foul Committed,
2566,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b91dbdc-512b-4337-bca0-767f23253792,1187,,,"[11.8, 11.3]",4003664,40,0.0486736931,0.0201619901,0.028511703,0.0098796077,0.0089721354,0.0009074723,-0.0276042307,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Milan Tučić,48713.0,Center Forward,90,Nyíregyháza Spartacus,2215,"['d627c2dc-7a2e-4bbb-a453-e3449f98162f', 'd6581349-4e4e-5172-8101-c2141ffe3416']",24,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:40:24.133,Foul Committed,
2567,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0aaa2067-81d2-4b85-b02a-251321855c16,1237,,,"[103.8, 47.9]",4003664,42,0.0099362172,0.0086283991,0.0013078181,0.0103504946,0.0248580743,-0.0145075796,-0.0158153977,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Meldin Drešković,136224.0,Right Back,94,Nyíregyháza Spartacus,2215,"['fb1aa114-00c2-4544-96c9-0f8d9a2bbc7f', '0481b0cf-26e6-51ea-8c81-f1cbefe718d6']",25,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:42:25.084,Foul Committed,
2568,,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,8e72f3d6-eca6-415a-a209-a2b517fa4d10,1316,,,"[90.8, 37.0]",4003664,45,0.011432278,0.0114651266,-3.28487e-05,0.0100636352,0.0148546454,-0.0047910102,-0.0047581615,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Milan Tučić,48713.0,Center Forward,102,Nyíregyháza Spartacus,2215,['2ffbf7f7-ccd5-5de4-82b0-9188723d3292'],44,,,,,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:45:44.539,Foul Committed,
2569,,,,,,,,,,,,True,,,,,,0.0,,Red Card,,,,,,,,,,,,9856c0f0-a4b4-4e36-beec-e55e4338002b,1513,,,"[93.4, 57.1]",4003664,48,0.0093006017,0.0083281193,0.0009724824,0.0102964714,0.0155941779,-0.0052977065,-0.0062701888,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Bálint Lajos Katona,404992.0,Center Attacking Midfield,120,Ujpest,1033,['4d91a9a3-5aff-596c-a0ef-5e9b5ee9e1a0'],59,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:03:59.707,Foul Committed,
2570,,,,,,,,,,,,,,,,,,0.0,,,,Handball,,,,,,,,,,2a64d943-1207-4254-a345-d7fdbbd039c8,1614,,,"[43.0, 54.0]",4003664,54,0.0278585348,0.0108914729,0.0169670619,0.0096084364,0.0067558372,0.0028525991,-0.0141144628,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Yuriy Toma,440621.0,Left Defensive Midfield,128,Nyíregyháza Spartacus,2215,['ee404696-df85-4bd2-a54f-b8c8171d3b8d'],3,,,,,,,,,,,,,,,,,,,,,,,,,Nyíregyháza Spartacus,2215,00:09:03.692,Foul Committed,
