50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[92.4, 49.1]",,,,,,,,,,,1.142,,,,,,,,,,,6851e615-0c64-5bc6-b49e-59bc7a688e12,2028,,,"[88.3, 49.8]",4003603,57,0.0095639508,0.0053001274,0.0042638234,0.0391502939,0.0121021708,0.0270481231,0.0227842997,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Damian Rasak,12829.0,Left Defensive Midfield,144,Ujpest,1033,"['0cbd229b-2115-43e3-b43c-e9a8e560d326', 'ace49c0f-315e-4421-a170-bbf6fde8a52d']",15,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:12:15.771,Carry,
,,,,,"[116.2, 47.8]",,,,,,,,,,,0.733,,,,,,,,,,,1b56ccf2-ad3d-533e-96b9-c914889ab380,2032,,,"[112.8, 45.3]",4003603,57,0.0086931903,0.0086395573,5.3633e-05,0.139586851,0.013564433,0.126022418,0.125968785,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Gleofilo Sabrino Rudewald Vlijter,103341.0,Center Forward,144,Ujpest,1033,"['5fbd22c4-d329-40d9-81fc-07d35d579d39', 'ac8e8f77-affc-4b5e-a14c-01724545e72f', 'f003982e-0be3-4887-8fd4-2631d4d1a2e2']",19,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:12:19.302,Carry,True
,,,,,"[106.7, 43.8]",,,,,,,,,,,1.028,,,,,,,,,,,0b8971be-ccd3-5215-b5c5-774cb8c618d2,2039,,,"[110.5, 48.4]",4003603,57,0.0092866449,0.0090439497,0.0002426952,0.1438672245,0.0126108108,0.1312564136,0.1310137184,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Gleofilo Sabrino Rudewald Vlijter,103341.0,Center Forward,144,Ujpest,1033,"['401f32e9-5565-4b14-9136-a4a4a6b92e14', '4d3d3603-8c66-4b74-9177-14783fb4e7bf']",22,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:12:22.524,Carry,
,,,,,"[86.5, 73.4]",,,,,,,,,,,0.704,,,,,,,,,,,cb5298cc-99b1-5ed3-a694-d51d071accf5,2051,,,"[86.2, 76.4]",4003603,57,0.008776254,0.0112039708,-0.0024277167,0.0231899936,0.0115237497,0.0116662439,0.0140939606,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Iuri José Picanço Medeiros,7138.0,Center Attacking Midfield,146,Ujpest,1033,"['8c154983-6987-4f23-9ac5-fce5edef83c3', '6a6b2c41-2e44-45b0-8707-8af9732babcb']",33,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:12:33.823,Carry,
,,,,,"[81.5, 66.8]",,,,,,,,,,,0.810564000000013,,,,,,,,,,,38a168ae-da12-57b5-8f36-2ce780a98537,2057,,,"[85.2, 66.9]",4003603,57,0.0095379921,0.0090788919,0.0004591001,0.020863764,0.0208410211,2.27429e-05,-0.0004363572,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Iuri José Picanço Medeiros,7138.0,Center Attacking Midfield,146,Ujpest,1033,"['6087aff4-5dbd-4b09-b435-5443b92685d6', '0b668585-442f-5f46-b98b-e435566a3d40', 'cdce3605-3f32-4887-8036-6c7859866fb3']",36,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:12:36.183,Carry,True
,,,,,"[53.2, 55.9]",,,,,,,,,,,1.3966110000000336,,,,,,,,,,,c7254d71-9cd7-516f-a9a3-9ca3d564c478,2062,,,"[54.8, 56.4]",4003603,57,0.0090476852,0.0095166452,-0.00046896,0.016780328,0.0171288215,-0.0003484935,0.0001204666,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,André Lourenço Duarte,132838.0,Right Center Back,146,Ujpest,1033,"['16907f30-fab2-4328-857e-a40285138776', '764b15a2-0c26-5d01-8a23-2ab37984304f']",40,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:12:40.109,Carry,
,,,,,"[32.7, 45.4]",,,,,,,,,,,1.9876049999999814,,,,,,,,,,,da0a058f-f334-53ca-b0e2-3e5ce77cfc92,2065,,,"[28.8, 46.3]",4003603,57,0.0138424253,0.0144065404,-0.0005641151,0.0121491551,0.0119359456,0.0002132095,0.0007773247,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Riccardo Piscitelli,38335.0,Goalkeeper,146,Ujpest,1033,"['cb74349f-fcca-5b70-a1a3-d98a15c9a25b', 'd7a43bd4-dcee-46d9-8582-384ec2c33cc5', '6182cd94-5857-44a6-8a53-010f5b749ebd']",42,,,,,,,,,,,,,,,,,,,,,Ujpest,1033,00:12:42.951,Carry,True
,,,,,"[16.8, 38.3]",,,,,,,,,,,2.9806440000000873,,,,,,,,,,,d200adf7-0936-5fbb-a2c5-3f7654817867,2071,,,"[11.4, 43.7]",4003603,57,0.0124271149,0.011528302,0.0008988129,0.0140096257,0.0096138371,0.0043957885,0.0034969756,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Péter Szappanos,158733.0,Goalkeeper,147,Puskas,2565,"['d8539982-0b56-4487-a609-3b1a204fde7a', '57c36332-d2df-5110-b6f0-90020602c214']",50,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:12:50.643,Carry,
,,,,,"[24.4, 32.5]",,,,,,,,,,,0.6684799999999814,,,,,,,,,,,5d91e38f-4d99-5c0a-abf6-e4c4f8416704,2074,,,"[21.4, 30.8]",4003603,57,0.0111518782,0.0118610421,-0.000709164,0.0123282885,0.0121981716,0.0001301169,0.0008392809,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Georgi Harutyunyan,294552.0,Left Center Back,147,Puskas,2565,"['29406a95-2833-55cb-b7de-d90da8c8407a', '14676979-b2d9-44ca-badd-d8edf9158ba1']",55,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:12:55.480,Carry,
,,,,,"[62.4, 35.2]",,,,,,,,,,,2.3809919999999694,,,,,,,,,,,ee8c815b-8e86-57de-b27a-256baf9f1441,2077,,,"[49.4, 45.2]",4003603,57,0.009604875,0.0098719429,-0.0002670679,0.0198277347,0.016301468,0.0035262667,0.0037933346,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Michael Okeke,160378.0,Right Defensive Midfield,147,Puskas,2565,"['354d821e-f0ad-4016-a143-5dcc4aa9fe51', '1eddf89d-89e0-551b-8b2a-a94c79c01d17']",58,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:12:58.268,Carry,
,,,,,"[95.1, 14.8]",,,,,,,,,,,3.1586539999999803,,,,,,,,,,,eb494fd7-9019-537b-a2bf-b8b3907f807a,2080,,,"[80.3, 5.0]",4003603,58,0.0094252471,0.0092607131,0.000164534,0.0299091451,0.0203088671,0.009600278,0.009435744,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Zsolt Nagy,73886.0,Left Wing,147,Puskas,2565,"['d2c39c4c-f3fd-552d-9d18-6632929856d7', '8c68f6d5-40a0-4441-8784-91a39e8151e2']",2,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:13:02.281,Carry,
,,,,,"[70.8, 5.5]",,,,,,,,,,,1.0429159999999684,,,,,,,,,,,e66217ff-3de0-5fee-926d-8d2401dd2001,2086,,,"[76.1, 4.3]",4003603,58,0.0098208329,0.0092431419,0.000577691,0.0169176646,0.0188317988,-0.0019141342,-0.0024918253,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Georgi Harutyunyan,294552.0,Left Center Back,148,Puskas,2565,"['df5cd258-2bd0-5406-a0ed-79bbaf0655ac', 'a01ec5d4-6a60-4f27-838a-e730a3209720']",22,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:13:22.169,Carry,
,,,,,"[38.4, 29.3]",,,,,,,,,,,2.098396999999997,,,,,,,,,,,32e100f1-871d-586b-b50b-e36c5b38052f,2089,,,"[42.9, 23.7]",4003603,58,0.0107724667,0.0105185695,0.0002538972,0.0146599133,0.0147604588,-0.0001005456,-0.0003544427,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Wojciech Golla,8834.0,Right Center Back,148,Puskas,2565,"['0149e746-c39c-45a7-b270-9e6e5be96103', 'd177545e-6766-5693-bf1a-8e71e94734cf']",25,,,,,,,,,,,,,,,,,,,,,Puskas,2565,00:13:25.757,Carry,
